Condition,Time,N,mean,sd
"Control_Crr_plus",536,24,0.473290473222733,0.838182330131531
"Control_Crr_plus",540,24,0.470316380262375,0.846349954605103
"Control_Crr_plus",544,24,0.462256282567978,0.860423564910889
"Control_Crr_plus",548,24,0.449282974004745,0.879324793815613
"Control_Crr_plus",552,24,0.431418687105179,0.901877224445343
"Control_Crr_plus",556,24,0.408526182174683,0.926359415054321
"Control_Crr_plus",560,24,0.380449652671814,0.950352847576141
"Control_Crr_plus",564,24,0.347066879272461,0.970893383026123
"Control_Crr_plus",568,24,0.308398932218552,0.984876275062561
"Control_Crr_plus",572,24,0.264669328927994,0.98964250087738
"Control_Crr_plus",576,24,0.216377660632133,0.983572423458099
"Control_Crr_plus",580,24,0.164319977164268,0.9665167927742
"Control_Crr_plus",584,24,0.109550692141056,0.940213680267334
"Control_Crr_plus",588,24,0.0534685552120209,0.908362925052643
"Control_Crr_plus",592,24,-0.00231191259808838,0.876551151275635
"Control_Crr_plus",596,24,-0.0560699440538883,0.85163676738739
"Control_Crr_plus",600,24,-0.106035597622395,0.840119421482086
"Control_Crr_plus",604,24,-0.150570929050446,0.846143901348114
"Control_Crr_plus",608,24,-0.188223123550415,0.869859516620636
"Control_Crr_plus",612,24,-0.217890679836273,0.907226741313934
"Control_Crr_plus",616,24,-0.238899290561676,0.95149689912796
"Control_Crr_plus",620,24,-0.251007884740829,0.995129823684692
"Control_Crr_plus",624,24,-0.254504293203354,1.03128278255463
"Control_Crr_plus",628,24,-0.250115066766739,1.05473339557648
"Control_Crr_plus",632,24,-0.239022955298424,1.06222987174988
"Control_Crr_plus",636,24,-0.222750782966614,1.05255663394928
"Control_Crr_plus",640,24,-0.203051149845123,1.02657699584961
"Control_Crr_plus",644,24,-0.181779399514198,0.987089097499847
"Control_Crr_plus",648,24,-0.160721704363823,0.938560009002686
"Control_Crr_plus",652,24,-0.14153690636158,0.886928796768188
"Control_Crr_plus",656,24,-0.125591203570366,0.838987767696381
"Control_Crr_plus",660,24,-0.113865040242672,0.801410138607025
"Control_Crr_plus",664,24,-0.10688740760088,0.7792848944664
"Control_Crr_plus",668,24,-0.104771710932255,0.774526178836823
"Control_Crr_plus",672,24,-0.107202671468258,0.785384833812714
"Control_Crr_plus",676,24,-0.113469578325748,0.807220816612244
"Control_Crr_plus",680,24,-0.122581623494625,0.834114670753479
"Control_Crr_plus",684,24,-0.13339863717556,0.86032909154892
"Control_Crr_plus",688,24,-0.144706234335899,0.881283104419708
"Control_Crr_plus",692,24,-0.155360966920853,0.893925368785858
"Control_Crr_plus",696,24,-0.164433851838112,0.896737396717072
"Control_Crr_plus",700,24,-0.171215176582336,0.889782309532166
"Control_Crr_plus",704,24,-0.175323486328125,0.874689936637878
"Control_Crr_plus",708,24,-0.176744475960732,0.854473769664764
"Control_Crr_plus",712,24,-0.175815582275391,0.833334505558014
"Control_Crr_plus",716,24,-0.173138663172722,0.815971612930298
"Control_Crr_plus",720,24,-0.16951747238636,0.806711912155151
"Control_Crr_plus",724,24,-0.165910825133324,0.808075964450836
"Control_Crr_plus",728,24,-0.163244307041168,0.819793403148651
"Control_Crr_plus",732,24,-0.16233067214489,0.838918149471283
"Control_Crr_plus",736,24,-0.163747057318687,0.860620021820068
"Control_Crr_plus",740,24,-0.167728528380394,0.879575848579407
"Control_Crr_plus",744,24,-0.174142882227898,0.891195595264435
"Control_Crr_plus",748,24,-0.182459279894829,0.892674624919891
"Control_Crr_plus",752,24,-0.19176310300827,0.883464753627777
"Control_Crr_plus",756,24,-0.200834214687347,0.865408003330231
"Control_Crr_plus",760,24,-0.208220139145851,0.84261828660965
"Control_Crr_plus",764,24,-0.21232758462429,0.820750832557678
"Control_Crr_plus",768,24,-0.211607336997986,0.805678248405457
"Control_Crr_plus",772,24,-0.204688981175423,0.801645457744598
"Control_Crr_plus",776,24,-0.190508648753166,0.809637486934662
"Control_Crr_plus",780,24,-0.168458893895149,0.827014327049255
