Condition,TimePnt,Channel,Theta,Radius,Amp
"Control_L5_plus",185,"E15",0,0.453627204234713,1.725188
"Control_L5_plus",185,"E16",0,0.395067145500769,2.283301
"Control_L5_plus",185,"E17",0,0.574536039210148,0.6941419
"Control_L5_plus",185,"E18",-11.8725454091428,0.390533007129712,2.232041
"Control_L5_plus",185,"E19",-21.874325153333,0.316984735973187,2.418277
"Control_L5_plus",185,"E20",-36.7591949568984,0.261605763086976,2.232737
"Control_L5_plus",185,"E21",-7.63371078286657,0.531422510063342,1.098648
"Control_L5_plus",185,"E22",-16.8763273916297,0.462858630223561,1.627373
"Control_L5_plus",185,"E23",-26.8465607545896,0.390419967902332,2.060732
"Control_L5_plus",185,"E24",-36.5243617118728,0.332080475646616,2.098849
"Control_L5_plus",185,"E25",-27.8257963683378,0.547327521600941,0.9633037
"Control_L5_plus",185,"E26",-38.2646318578571,0.488552533066186,1.357446
"Control_L5_plus",185,"E27",-46.1789093469774,0.389962605760964,1.690816
"Control_L5_plus",185,"E28",-53.1443516754078,0.312634284160053,1.766175
"Control_L5_plus",185,"E29",-60.4680126360769,0.227743430935227,1.709795
"Control_L5_plus",185,"E30",-75.4318344800771,0.147728378465659,1.767362
"Control_L5_plus",185,"E31",-109.291772852777,0.0755362052223266,1.627125
"Control_L5_plus",185,"E32",-46.3515894409914,0.599228196701221,0.2958815
"Control_L5_plus",185,"E33",-57.1790106114874,0.514906388993219,0.7429829
"Control_L5_plus",185,"E34",-66.4909622507194,0.399530300113236,0.8764747
"Control_L5_plus",185,"E35",-76.9225935088761,0.301354251938023,0.9100128
"Control_L5_plus",185,"E36",-87.0229471585147,0.225996621106973,1.0393
"Control_L5_plus",185,"E37",-111.231819582071,0.157668933973343,1.110815
"Control_L5_plus",185,"E38",-61.1312193439425,0.634138508679676,-0.1704007
"Control_L5_plus",185,"E39",-83.2585491531442,0.538619055341259,-0.2322244
"Control_L5_plus",185,"E40",-89.7507902366152,0.410156350954595,0.1408458
"Control_L5_plus",185,"E41",-96.6164756775109,0.313918875216249,0.1492724
"Control_L5_plus",185,"E42",-111.440281839919,0.260140640382636,0.1772938
"Control_L5_plus",185,"E43",-69.6547868585238,0.705974736353449,-0.4987356
"Control_L5_plus",185,"E44",-79.4138878742049,0.650345193843936,-0.5128818
"Control_L5_plus",185,"E45",-104.33175744558,0.52650285683909,-0.9057333
"Control_L5_plus",185,"E46",-107.449713865737,0.403970919226589,-0.5607554
"Control_L5_plus",185,"E47",-114.086346392077,0.336011092349328,-0.4201196
"Control_L5_plus",185,"E48",-69.4311839138038,0.785439160398232,-0.5778946
"Control_L5_plus",185,"E49",-86.2152767414257,0.74376017977384,-0.79397
"Control_L5_plus",185,"E50",-120.677320845054,0.509369308337971,-1.580946
"Control_L5_plus",185,"E51",-125.43763751286,0.39520725652609,-1.27937
"Control_L5_plus",185,"E52",-127.625656592164,0.311430441422877,-0.7426021
"Control_L5_plus",185,"E53",-133.910686303638,0.221191066859946,0.05320983
"Control_L5_plus",185,"E54",-146.37741567624,0.147540974980331,0.7607529
"Control_L5_plus",185,"E55",180,0.0759441554792462,1.27069
"Control_L5_plus",185,"E56",-111.70656890927,0.723915285422924,-1.294955
"Control_L5_plus",185,"E57",-119.608852342156,0.619796074499157,-1.539698
"Control_L5_plus",185,"E58",-133.644631183022,0.49802123176152,-2.380718
"Control_L5_plus",185,"E59",-141.04707747797,0.389863074652852,-2.001506
"Control_L5_plus",185,"E60",-145.816189990478,0.298807746095754,-0.9042298
"Control_L5_plus",185,"E61",-156.837713718969,0.22326320433181,0.01569388
"Control_L5_plus",185,"E62",180,0.255121952743358,-0.3453753
"Control_L5_plus",185,"E63",-128.892431075891,0.718473149021026,-1.846963
"Control_L5_plus",185,"E64",-137.367908149995,0.610671140764661,-2.345299
"Control_L5_plus",185,"E65",-147.460391385751,0.495203764381799,-2.71933
"Control_L5_plus",185,"E66",-154.792727732359,0.387356382652391,-1.877481
"Control_L5_plus",185,"E67",-165.919476940636,0.307966338541944,-0.8572121
"Control_L5_plus",185,"E68",-149.403750058276,0.695963417030754,-2.11178
"Control_L5_plus",185,"E69",-155.102183075408,0.603236814605867,-2.201051
"Control_L5_plus",185,"E70",-162.350241600306,0.491567150006312,-2.21811
"Control_L5_plus",185,"E71",-170.54613792653,0.383533110709227,-1.465034
"Control_L5_plus",185,"E72",180,0.328287671650638,-0.9810136
"Control_L5_plus",185,"E73",-165.566315195067,0.686475665707557,-2.050435
"Control_L5_plus",185,"E74",-172.416209207983,0.595297089988543,-2.09635
"Control_L5_plus",185,"E75",180,0.482752768978654,-1.860797
"Control_L5_plus",185,"E76",170.54613792653,0.383533110709227,-1.546444
"Control_L5_plus",185,"E77",165.919476940636,0.307966338541944,-1.009259
"Control_L5_plus",185,"E78",156.837713718969,0.22326320433181,-0.1299059
"Control_L5_plus",185,"E79",146.37741567624,0.147540974980331,0.5320265
"Control_L5_plus",185,"E80",109.291772852777,0.0755362052223266,1.564188
"Control_L5_plus",185,"E81",180,0.678783360667831,-1.972894
"Control_L5_plus",185,"E82",172.416209207983,0.595297089988543,-2.247517
"Control_L5_plus",185,"E83",162.350241600306,0.491567150006312,-2.470824
"Control_L5_plus",185,"E84",154.792727732359,0.387356382652391,-2.157975
"Control_L5_plus",185,"E85",145.816189990478,0.298807746095754,-1.296296
"Control_L5_plus",185,"E86",133.910686303638,0.221191066859946,-0.4184919
"Control_L5_plus",185,"E87",111.231819582071,0.157668933973343,0.6837593
"Control_L5_plus",185,"E88",165.566315195067,0.686475665707557,-2.252065
"Control_L5_plus",185,"E89",155.102183075408,0.603236814605867,-2.767394
"Control_L5_plus",185,"E90",147.460391385751,0.495203764381799,-3.106181
"Control_L5_plus",185,"E91",141.04707747797,0.389863074652852,-2.426559
"Control_L5_plus",185,"E92",127.625656592164,0.311430441422877,-1.128893
"Control_L5_plus",185,"E93",111.440281839919,0.260140640382636,-0.2554055
"Control_L5_plus",185,"E94",149.403750058276,0.695963417030754,-2.272009
"Control_L5_plus",185,"E95",137.367908149995,0.610671140764661,-2.716266
"Control_L5_plus",185,"E96",133.644631183022,0.49802123176152,-2.690389
"Control_L5_plus",185,"E97",125.43763751286,0.39520725652609,-1.695155
"Control_L5_plus",185,"E98",114.086346392077,0.336011092349328,-0.6422228
"Control_L5_plus",185,"E99",128.892431075891,0.718473149021026,-1.889811
"Control_L5_plus",185,"E100",119.608852342156,0.619796074499157,-1.618232
"Control_L5_plus",185,"E101",120.677320845054,0.509369308337971,-1.671582
"Control_L5_plus",185,"E102",107.449713865737,0.403970919226589,-0.6464841
"Control_L5_plus",185,"E103",96.6164756775109,0.313918875216249,0.1775368
"Control_L5_plus",185,"E104",87.0229471585147,0.225996621106973,0.4178539
"Control_L5_plus",185,"E105",75.4318344800771,0.147728378465659,1.537382
"Control_L5_plus",185,"E106",38.1339983808221,0.0734107867662809,2.244301
"Control_L5_plus",185,"E107",111.70656890927,0.723915285422924,-0.9916792
"Control_L5_plus",185,"E108",104.33175744558,0.52650285683909,-0.7946323
"Control_L5_plus",185,"E109",89.7507902366152,0.410156350954595,0.1632565
"Control_L5_plus",185,"E110",76.9225935088761,0.301354251938023,0.8060643
"Control_L5_plus",185,"E111",60.4680126360769,0.227743430935227,1.534269
"Control_L5_plus",185,"E112",36.8151001737827,0.156184910447561,2.259913
"Control_L5_plus",185,"E113",86.2152767414257,0.74376017977384,-0.6806796
"Control_L5_plus",185,"E114",79.4138878742049,0.650345193843936,-0.3246462
"Control_L5_plus",185,"E115",83.2585491531442,0.538619055341259,0.03098398
"Control_L5_plus",185,"E116",66.4909622507194,0.399530300113236,0.7944822
"Control_L5_plus",185,"E117",53.1443516754078,0.312634284160053,1.623497
"Control_L5_plus",185,"E118",36.7591949568984,0.261605763086976,2.015706
"Control_L5_plus",185,"E119",69.4311839138038,0.785439160398232,-0.4390559
"Control_L5_plus",185,"E120",69.6547868585238,0.705974736353449,-0.2414452
"Control_L5_plus",185,"E121",61.1312193439425,0.634138508679676,0.0384719
"Control_L5_plus",185,"E122",57.1790106114874,0.514906388993219,0.8341476
"Control_L5_plus",185,"E123",46.1789093469774,0.389962605760964,1.459565
"Control_L5_plus",185,"E124",36.5243617118728,0.332080475646616,1.900166
"Control_L5_plus",185,"E125",53.5214920771717,0.66716702053212,0.02830602
"Control_L5_plus",185,"E126",29.3795279962613,0.725315993928263,-0.003397805
"Control_L5_plus",185,"E127",-29.3795279962613,0.725315993928263,-0.1217581
"Control_L5_plus",185,"E128",-53.5214920771717,0.66716702053212,-0.1369322
"Control_L5_plus",185,"Cz",-0,0,1.948334
